Start	Len	Name
1	2	SEGMENT LEVEL
3	2	NUMERIC STATE CODE
5	9	ORI
14	12	INCIDENT NUMBER
26	9	CURRENT POPULATION 5
35	3	UCR COUNTY CODE 5
38	3	MSA CODE 5
41	9	LAST POPULATION 5
50	2	01-06-12 INDICATOR
52	2	NUMBER OF MONTHS REPORTED
54	4	MASTER FILE YEAR
58	3	AGENCY ACTIVITY INDICATOR 1
61	3	AGENCY ACTIVITY INDICATOR 2
64	3	AGENCY ACTIVITY INDICATOR 3
67	3	AGENCY ACTIVITY INDICATOR 4
70	3	AGENCY ACTIVITY INDICATOR 5
73	3	AGENCY ACTIVITY INDICATOR 6
76	3	AGENCY ACTIVITY INDICATOR 7
79	3	AGENCY ACTIVITY INDICATOR 8
82	3	AGENCY ACTIVITY INDICATOR 9
85	3	AGENCY ACTIVITY INDICATOR 10
88	3	AGENCY ACTIVITY INDICATOR 11
91	3	AGENCY ACTIVITY INDICATOR 12
94	3	FIPS COUNTY  1
97	3	FIPS COUNTY  2
100	3	FIPS COUNTY  3
103	3	FIPS COUNTY  4
106	3	FIPS COUNTY  5
